movie_id,person_id,person_name,character_name,cast_order
862,31,Tom Hanks,Woody (voice),0
862,12898,Tim Allen,Buzz Lightyear (voice),1
862,7167,Don Rickles,Mr. Potato Head (voice),2
862,12899,Jim Varney,Slinky Dog (voice),3
862,12900,Wallace Shawn,Rex (voice),4
8844,2157,Robin Williams,Alan Parrish,0
8844,8537,Jonathan Hyde,Samuel Alan Parrish / Van Pelt,1
8844,205,Kirsten Dunst,Judy Sheperd,2
8844,145151,Bradley Pierce,Peter Shepherd,3
8844,5149,Bonnie Hunt,Sarah Whittle,4
15602,6837,Walter Matthau,Max Goldman,0
15602,3151,Jack Lemmon,John Gustafson,1
15602,13567,Ann-Margret,Ariel Gustafson,2
15602,16757,Sophia Loren,Maria Sophia Coletta Ragetti,3
15602,589,Daryl Hannah,Melanie Gustafson,4
31357,8851,Whitney Houston,Savannah 'Vannah' Jackson,0
31357,9780,Angela Bassett,Bernadine 'Bernie' Harris,1
31357,18284,Loretta Devine,Gloria 'Glo' Matthews,2
31357,51359,Lela Rochon,Robin Stokes,3
31357,66804,Gregory Hines,Marvin King,4
11862,67773,Steve Martin,George Banks,0
11862,3092,Diane Keaton,Nina Banks,1
11862,519,Martin Short,Franck Eggelhoffer,2
11862,70696,Kimberly Williams-Paisley,Annie Banks-MacKenzie,3
11862,59222,George Newbern,Bryan MacKenzie,4
949,1158,Al Pacino,Lt. Vincent Hanna,0
949,380,Robert De Niro,Neil McCauley,1
949,5576,Val Kilmer,Chris Shiherlis,2
949,10127,Jon Voight,Nate,3
949,3197,Tom Sizemore,Michael Cheritto,4
11860,3,Harrison Ford,Linus Larrabee,0
11860,15887,Julia Ormond,Sabrina Fairchild,1
11860,17141,Greg Kinnear,David Larrabee,2
11860,4301,Angie Dickinson,Mrs. Ingrid Tyson,3
11860,12957,Nancy Marchand,Maude Larrabee,4
45325,53283,Jonathan Taylor Thomas,Tom Sawyer,0
45325,51214,Brad Renfro,Huck Finn,1
45325,38581,Rachael Leigh Cook,Becky Thatcher,2
45325,8316,Michael McShane,Muff Potter,3
45325,87007,Amy Wright,Aunt Polly,4
9091,15111,Jean-Claude Van Damme,Darren Francis Thomas McCord,0
9091,6280,Powers Boothe,Joshua Foss,1
9091,8656,Dorian Harewood,Matthew Hallmark,2
9091,10361,Raymond J. Barry,Vizepräsident Daniel Bender,3
9091,12928,Ross Malinger,Tyler,4
710,517,Pierce Brosnan,James Bond,0
710,48,Sean Bean,Alec Trevelyan,1
710,10695,Izabella Scorupco,Natalya Fyodorovna Simonova,2
710,10696,Famke Janssen,Xenia Onatopp,3
710,10671,Joe Don Baker,Jack Wade,4
