movie_id,person_id,person_name,job_title,department
862,7879,John Lasseter,Director,Directing
862,12891,Joss Whedon,Screenplay,Writing
862,7,Andrew Stanton,Screenplay,Writing
862,12892,Joel Cohen,Screenplay,Writing
862,12893,Alec Sokolow,Screenplay,Writing
8844,876,Jonathan Hensleigh,Screenplay,Writing
8844,4945,Joe Johnston,Director,Directing
8844,42356,Chris van Allsburg,Novel,Writing
8844,56520,Greg Taylor,Screenplay,Writing
8844,56521,Jim Strain,Screenplay,Writing
15602,26502,Howard Deutch,Director,Directing
15602,16837,Mark Steven Johnson,Writer,Writing
31357,2178,Forest Whitaker,Director,Directing
31357,5144,Ronald Bass,Screenplay,Writing
31357,111118,Terry McMillan,Screenplay,Writing
31357,111118,Terry McMillan,Novel,Writing
11862,17698,Nancy Meyers,Screenplay,Writing
11862,26160,Albert Hackett,Screenplay,Writing
11862,56106,Charles Shyer,Director,Directing
949,638,Michael Mann,Director,Directing
949,638,Michael Mann,Screenplay,Writing
11860,2226,Sydney Pollack,Director,Directing
11860,70846,Barbara Benedek,Screenplay,Writing
11860,11056,David Rayfiel,Screenplay,Writing
45325,2075,David Loughery,Screenplay,Writing
45325,7775,Stephen Sommers,Screenplay,Writing
45325,18357,Peter Hewitt,Director,Directing
45325,72225,Mark Twain,Novel,Writing
9091,37710,Peter Hyams,Director,Directing
9091,53300,Karen Elise Baldwin,Screenplay,Writing
9091,56953,Gene Quintano,Screenplay,Writing
710,10702,Martin Campbell,Director,Directing
710,10704,Jeffrey Caine,Screenplay,Writing
710,10705,Bruce Feirstein,Screenplay,Writing
710,10703,Michael France,Story,Writing
9087,3026,Rob Reiner,Director,Directing
9087,13520,Aaron Sorkin,Screenplay,Writing
12110,14639,Mel Brooks,Screenplay,Writing
12110,14639,Mel Brooks,Director,Directing
12110,67674,Rudy De Luca,Screenplay,Writing
12110,71303,Steve Haberman,Screenplay,Writing
21032,12061,Roger S.H. Schulman,Writer,Writing
21032,21879,Simon Wells,Director,Directing
21032,106850,Elana Lesser,Writer,Writing
21032,570268,Cliff Ruby,Writer,Writing
21032,991160,David Steven Cohen,Writer,Writing
10858,1152,Oliver Stone,Director,Directing
10858,1152,Oliver Stone,Screenplay,Writing
10858,17786,Stephen J. Rivele,Screenplay,Writing
1408,16938,Renny Harlin,Director,Directing
1408,22706,James Gorman,Story,Writing
1408,21203,Michael Frost Beckner,Story,Writing
1408,20061,Marc Norman,Screenplay,Writing
1408,1224549,Robert King,Screenplay,Writing
524,1032,Martin Scorsese,Director,Directing
524,1032,Martin Scorsese,Screenplay,Writing
524,7163,Nicholas Pileggi,Screenplay,Writing
524,7163,Nicholas Pileggi,Novel,Writing
4584,1614,Ang Lee,Director,Directing
4584,32982,Jane Austen,Novel,Writing
4584,7056,Emma Thompson,Screenplay,Writing
5,3110,Allison Anders,Director,Directing
5,3111,Alexandre Rockwell,Director,Directing
5,2294,Robert Rodriguez,Director,Directing
5,138,Quentin Tarantino,Director,Directing
5,3110,Allison Anders,Writer,Writing
5,3111,Alexandre Rockwell,Writer,Writing
5,2294,Robert Rodriguez,Writer,Writing
5,138,Quentin Tarantino,Writer,Writing
9273,4489,Steve Oedekerk,Director,Directing
9273,4489,Steve Oedekerk,Screenplay,Writing
11517,52629,Joseph Ruben,Director,Directing
11517,20840,Doug Richardson,Screenplay,Writing
8012,5174,Barry Sonnenfeld,Director,Directing
8012,2235,Elmore Leonard,Novel,Writing
8012,2199,Scott Frank,Screenplay,Writing
1710,15148,Jon Amiel,Director,Directing
1710,18683,David Madsen,Screenplay,Writing
1710,17815,Ann Biderman,Screenplay,Writing
9691,7187,Richard Donner,Director,Directing
9691,9339,Lilly Wachowski,Author,Writing
9691,9340,Lana Wachowski,Author,Writing
9691,9339,Lilly Wachowski,Screenplay,Writing
9691,9340,Lana Wachowski,Screenplay,Writing
9691,4723,Brian Helgeland,Screenplay,Writing
12665,56349,Victor Salva,Director,Directing
12665,56349,Victor Salva,Screenplay,Writing
451,6111,Mike Figgis,Screenplay,Writing
451,6111,Mike Figgis,Director,Directing
451,1741885,John O'Brien,Novel,Writing
16420,6210,William Shakespeare,Writer,Writing
16420,56710,Oliver Parker,Director,Directing
9263,15798,Lesli Linka Glatter,Director,Directing
9263,57062,I. Marlene King,Screenplay,Writing
17015,7017,Roger Michell,Director,Directing
17015,32982,Jane Austen,Novel,Writing
17015,137933,Nick Dear,Screenplay,Writing
902,2419,Jean-Pierre Jeunet,Director,Directing
902,2419,Jean-Pierre Jeunet,Screenplay,Writing
902,13680,Marc Caro,Screenplay,Writing
902,13680,Marc Caro,Director,Directing
902,13681,Gilles Adrien,Screenplay,Writing
37557,607,Zhang Yimou,Director,Directing
37557,146103,Bi Feiyu,Writer,Writing
37557,146104,Li Xiao,Novel,Writing
9909,5144,Ronald Bass,Screenplay,Writing
9909,60295,John N. Smith,Director,Directing
9909,60296,LouAnne Johnson,Novel,Writing
63,280,Terry Gilliam,Director,Directing
63,7191,David Webb Peoples,Screenplay,Writing
63,281,Janet Peoples,Screenplay,Writing
78802,2352,Jean-Jacques Annaud,Director,Directing
78802,2358,Alain Godard,Screenplay,Writing
78802,2352,Jean-Jacques Annaud,Screenplay,Writing
9598,20629,George Miller,Screenplay,Writing
9598,46299,Dick King-Smith,Novel,Writing
9598,58137,Chris Noonan,Screenplay,Writing
9598,58137,Chris Noonan,Director,Directing
47018,12952,Christopher Hampton,Screenplay,Writing
47018,12952,Christopher Hampton,Director,Directing
47018,1338011,Michael Holroyd,Novel,Writing
687,504,Tim Robbins,Screenplay,Writing
687,504,Tim Robbins,Director,Directing
687,10298,Helen Prejean,Screenplay,Writing
139405,77867,Stephen Low,Director,Directing
139405,1439903,Andrew Gellis,Writer,Writing
33689,17167,Andy Tennant,Director,Directing
33689,147476,Deborah Dean Davis,Writer,Writing
9603,57434,Amy Heckerling,Director,Directing
9603,57434,Amy Heckerling,Screenplay,Writing
34615,16730,Darrell James Roodt,Director,Directing
34615,3558,Ronald Harwood,Writer,Writing
34615,123828,Alan Paton,Novel,Writing
34615,3774,Joshua Sinclair,Writer,Writing
31174,33315,Richard Loncraine,Director,Directing
31174,1327,Ian McKellen,Writer,Writing
31174,33315,Richard Loncraine,Writer,Writing
11443,11447,Albert Hughes,Director,Directing
11443,11448,Allen Hughes,Director,Directing
