title,movie_count,years
Cinderella,11,"[1899.0, 1914.0, 1947.0, 1950.0, 1957.0, 1997.0, 2000.0, 2002.0, 2011.0, 2012.0]"
Alice in Wonderland,9,"[1903.0, 1915.0, 1933.0, 1951.0, 1966.0, 1981.0, 1985.0, 1999.0, 2010.0]"
Hamlet,9,"[1948.0, 1964.0, 1969.0, 1980.0, 1990.0, 1996.0, 2000.0, 2009.0]"
Les Misérables,8,"[1934.0, 1935.0, 1948.0, 1958.0, 1978.0, 1998.0, 2000.0, 2012.0]"
Beauty and the Beast,8,"[1946.0, 1962.0, 1978.0, 1987.0, 1991.0, 2009.0, 2014.0, 2017.0]"
The Three Musketeers,7,"[1921.0, 1933.0, 1939.0, 1948.0, 1973.0, 1993.0, 2011.0]"
A Christmas Carol,7,"[1938.0, 1977.0, 1984.0, 1997.0, 1999.0, 2004.0, 2009.0]"
Treasure Island,7,"[1934.0, 1950.0, 1972.0, 1982.0, 1990.0, 1999.0, 2012.0]"
Macbeth,6,"[1948.0, 1982.0, 1983.0, 2006.0, 2010.0, 2015.0]"
The Stranger,6,"[1946.0, 1967.0, 1973.0, 1991.0, 2010.0, 2015.0]"
Love,6,"[1927.0, 1971.0, 2005.0, 2011.0, 2012.0, 2015.0]"
Home,6,"[2008.0, 2009.0, 2011.0, 2013.0, 2015.0, 2016.0]"
Jane Eyre,6,"[1943.0, 1971.0, 1983.0, 1996.0, 1997.0, 2011.0]"
Heidi,6,"[1937.0, 1952.0, 1968.0, 1993.0, 2005.0, 2014.0]"
Aftermath,6,"[1994.0, 2004.0, 2012.0, 2013.0, 2017.0]"
Mother,6,"[1926.0, 1991.0, 1992.0, 1996.0, 2009.0, 2016.0]"
The Hunters,6,"[1957.0, 1958.0, 1977.0, 1996.0, 2011.0, 2013.0]"
The Forest,6,"[1982.0, 2002.0, 2009.0, 2011.0, 2012.0, 2016.0]"
The Journey,6,"[1959.0, 1992.0, 1997.0, 2001.0, 2014.0, 2017.0]"
First Love,6,"[1939.0, 1970.0, 1974.0, 2000.0, 2004.0, 2006.0]"
Bluebeard,6,"[1901.0, 1936.0, 1944.0, 1963.0, 1972.0, 2009.0]"
The Circle,6,"[1925.0, 1985.0, 2000.0, 2014.0, 2015.0, 2017.0]"
The Hound of the Baskervilles,6,"[1939.0, 1959.0, 1978.0, 1983.0, 2000.0, 2002.0]"
Countdown,6,"[1968.0, 2004.0, 2006.0, 2011.0, 2012.0, 2016.0]"
Wuthering Heights,6,"[1939.0, 1970.0, 1992.0, 2003.0, 2009.0, 2011.0]"
Great Expectations,5,"[1934.0, 1946.0, 1998.0, 1999.0, 2012.0]"
Frankenstein,5,"[1910.0, 1931.0, 2004.0, 2015.0]"
Eden,5,"[1996.0, 2006.0, 2012.0, 2014.0, 2015.0]"
Hunger,5,"[1966.0, 1974.0, 2001.0, 2008.0, 2009.0]"
Emma,5,"[1932.0, 1972.0, 1996.0, 2009.0]"
Freedom,5,"[1982.0, 2000.0, 2006.0, 2009.0, 2014.0]"
Angel,5,"[1937.0, 1982.0, 1984.0, 2007.0, 2016.0]"
Deadline,5,"[2001.0, 2004.0, 2009.0, 2012.0, 2013.0]"
Darling,5,"[1965.0, 2007.0, 2010.0, 2015.0]"
Outrage,5,"[1950.0, 1973.0, 2003.0, 2009.0, 2010.0]"
The Monster,5,"[1903.0, 1925.0, 1993.0, 1994.0, 2016.0]"
Cleopatra,5,"[1912.0, 1934.0, 1963.0, 1999.0, 2003.0]"
Rage,5,"[1972.0, 2009.0, 2010.0, 2014.0]"
