primary_genre,movie_count,rated_movie_count,mean_user_rating,median_user_rating,mean_unique_users,median_unique_users,mean_popularity,mean_vote_average
Drama,11948,2391,3.498657465495609,3.6,9.265161020493517,3.0,2.6856662092400403,5.8823317710077
Comedy,8815,2162,3.1925809435707677,3.285,9.99213691026827,3.0,2.86390775984118,5.686522972206466
Action,4484,1173,3.0609462915601022,3.12,12.789428815004262,4.0,4.692933747769849,5.582448706512043
Documentary,3402,378,3.7158465608465607,4.0,3.3095238095238093,1.0,0.9012883791887125,5.813198118753674
Horror,2619,494,2.921578947368421,3.0,7.030364372469635,2.0,3.4492533253150057,5.1079801450935465
Unknown,2384,35,3.5997142857142856,4.0,2.5142857142857142,1.0,0.3106901984060403,4.298909395973155
Crime,1683,410,3.4259512195121955,3.565,13.153658536585366,3.0,3.3656335543672014,5.86250742721331
Thriller,1663,257,3.13136186770428,3.25,10.964980544747082,3.0,3.6668288737221886,5.39783523752255
Adventure,1508,517,3.2134042553191486,3.32,22.574468085106382,7.0,5.489504398541114,5.745954907161804
Romance,1191,189,3.2395238095238095,3.36,11.873015873015873,2.0,2.3006807128463476,5.615449202350965
Animation,1122,236,3.3788135593220336,3.5,12.983050847457626,3.0,3.896624594474153,6.303921568627451
Fantasy,703,244,3.21594262295082,3.3099999999999996,15.729508196721312,4.0,4.424338098150782,5.653200568990043
Science Fiction,646,126,3.157460317460317,3.295,23.841269841269842,9.0,4.2484430232198145,5.213777089783282
Mystery,552,95,3.3075789473684214,3.5,13.694736842105263,3.0,3.3200248423913044,5.646014492753623
Family,524,76,3.191842105263158,3.24,13.236842105263158,3.0,4.512895969465649,5.589312977099237
Music,487,81,3.399135802469136,3.5,8.333333333333334,2.0,1.78556081724846,5.828336755646817
Western,451,48,3.5585416666666667,3.6,8.9375,3.0,2.137580261640798,4.817738359201774
TV Movie,389,18,2.823888888888889,3.0,1.6111111111111112,1.0,2.110929439588689,5.088431876606684
War,379,52,3.6398076923076923,3.77,6.134615384615385,2.0,2.280731372031662,5.928759894459103
History,278,42,3.618333333333333,3.6100000000000003,10.666666666666666,4.0,2.4401633525179856,5.80863309352518
Foreign,118,1,4.0,4.0,1.0,1.0,0.6043878389830508,5.7813559322033905
