value,count
John Wayne,107
Jackie Chan,101
Christopher Lee,97
Robert De Niro,96
Gérard Depardieu,96
Michael Caine,96
Samuel L. Jackson,84
Donald Sutherland,80
Harvey Keitel,78
Danny Glover,78
Nicolas Cage,76
Susan Sarandon,75
Bruce Willis,73
Gene Hackman,72
Christopher Walken,72
Alec Baldwin,70
John Hurt,70
Eric Roberts,70
James Mason,70
Bette Davis,70
Robert Duvall,69
Anthony Quinn,69
Christopher Plummer,68
Malcolm McDowell,68
Willem Dafoe,68
Morgan Freeman,67
John Goodman,67
Jeff Bridges,66
Dennis Hopper,66
Vincent Price,66
