value,count
John Ford,68
Michael Curtiz,65
Werner Herzog,55
Alfred Hitchcock,53
Georges Méliès,51
Jean-Luc Godard,50
Woody Allen,49
Sidney Lumet,46
Charlie Chaplin,44
William A. Wellman,43
Henry Hathaway,43
Raoul Walsh,43
Richard Thorpe,42
Martin Scorsese,41
George Cukor,40
John Huston,39
Ingmar Bergman,39
Robert Altman,38
Fritz Lang,38
Mervyn LeRoy,38
Claude Chabrol,37
Frank Capra,37
Robert Wise,37
Takashi Miike,37
Spike Lee,36
Howard Hawks,36
Roger Corman,36
Buster Keaton,36
Mario Monicelli,36
Clint Eastwood,35
